uid,sku,category,currency,price,metal,gold-purity,size-length,size-width,size-unit,standard-size,total-weight,condition,label,have_master_piece,diamond_quantity,gemstone_certification,gemstone_certification-number,gemstone_carat-weight,gemstone_gem-stone-shape,gemstone_gem-stone-color,gemstone_stone-type,gemstone_center-stone,gemstone_stone-shape,gemstone_stone-color,gemstone_sapphire-enhancement,gemstone_sapphire-origin,gemstone_ruby-enhancement,diamond_carat-weight,diamond_diamond-color,diamond_diamond-color-white-options,diamond_diamond-color-fancy-options,diamond_certification,diamond_certification-number,diamond_diamond-shape,diamond_diamond-clarity,diamond_diamond-cut,diamond_diamond-polish,diamond_diamond-symmetry,diamond_diamond-fluoroscence,diamond_center-stone,gemstone_pearl-shape,gemstone_pearl-color
1,LB1115,Bracelet,USD,8400,White Gold,18K,,,,,17.45,Excellent,"Fast Shipping, Verified Partner",No,17,GFCO,AUF1381,27.29,Oval,ROYAL BLUE,Sapphire,Center stone,Oval,ROYAL BLUE,Indication of heating,MADAGASCAR,,,,,,,,,,,,,,,,
2,LE2298,Earring,USD,4800,White Gold,18K,,,,,6.45,Brand New,"Fast Shipping, Verified Partner, New",No,0,GRS,2025-018148,2.60,Oval,VIVID RED,Ruby,Center stone,Oval,VIVID RED,,,Indication of heating,,,,,,,,,,,,,,,
3,NK1048,Necklace,USD,5200,White Gold,18K,,,,,15.35,Excellent,"Fast Shipping, Verified Partner",No,0,,,,,,Diamond,,,,,,,0.00,White,,,NONE,NON,Round,,,,,,Center stone,,
4,LP1811,Pendant,USD,2000,White Gold,18K,,,,,1.29,Brand New,"Fast Shipping, Verified Partner, New",No,0,,,,,,Diamond,,,,,,,0.60,White,,,NONE,NON,Pear,,,,,,Center stone,,
5,NK637,Necklace,USD,2300,White Gold,18K,16,,cm,,10.03,Brand New,"Fast Shipping, Verified Partner, New",No,0,,,,,,Diamond,,,,,,,0.00,White,,,NONE,NON,,,,,,,Center stone,,
6,LE1397,Earring,USD,4900,White Gold,18K,,,,,0,Excellent,"Fast Shipping, Verified Partner",No,0,NONE,NON,0.00,Round,,Pearl,Center stone,Round,,,,,,,,,,,,,,,,,,Round,
7,B134,Brooch,USD,3700,Two tone gold,18K,,,,,22.17,Brand New,"Fast Shipping, Verified Partner, New",No,284,NONE,NON,0.00,Round,,Pearl,Center stone,Round,,,,,,,,,,,,,,,,,,Round,
8,LP2178,Pendant,USD,2300,White Gold,18K,,,,,9.83,Brand New,"Fast Shipping, Verified Partner, New",No,0,NONE,NON,0.00,Round,,Pearl,Center stone,Round,,,,,,,,,,,,,,,,,,Round,
9,LB1132,Bracelet,USD,1500,White Gold,18K,17.5,,cm,,2.98,Brand New,"Fast Shipping, Verified Partner, New",No,0,,,,,,Diamond,,,,,,,0.98,White,,,NONE,NON,Round,,,,,,Center stone,,
10,LBN288,Bracelet,USD,2500,White Gold,18K,5.5,4.5,cm,,8.87,Brand New,"Fast Shipping, Verified Partner, New",No,0,,,,,,Diamond,,,,,,,0.00,White,,,NONE,NON,Round,,,,,,Center stone,,
11,LB744,Bracelet,USD,2000,White Gold,14K,16,,cm,,11.97,Brand New,"Fast Shipping, Verified Partner, New",No,11,,,,,,Diamond,,,,,,,0.55,White,,,NONE,NON,Round,,,,,,Center stone,,
12,LB1022,Bracelet,USD,1300,White Gold,18K,17,,cm,,4.71,Brand New,"Fast Shipping, Verified Partner, New",No,12,,,,,,Diamond,,,,,,,0.24,White,,,NONE,NON,Round,,,,,,Center stone,,
13,LB891,Bracelet,USD,1400,White Gold,18K,15.5,,cm,,5.17,Brand New,"Fast Shipping, Verified Partner, New",No,10,,,,,,Diamond,,,,,,,0.22,White,,,NONE,NON,Round,,,,,,Center stone,,
14,LB641,Bracelet,USD,1800,White Gold,18K,17,,cm,,7.77,Brand New,"Fast Shipping, Verified Partner, New",No,5,,,,,,Diamond,,,,,,,0.15,White,,,NONE,NON,Round,,,,,,Center stone,,
15,LB1332,Bracelet,USD,3200,White Gold,18K,16,,cm,,9.93,Brand New,"Fast Shipping, Verified Partner, New",No,34,,,,,,Diamond,,,,,,,1.70,White,,,NONE,NON,Round,,,,,,Center stone,,
16,LB1320,Bracelet,USD,3300,White Gold,18K,,,,,7.43,Brand New,"Fast Shipping, Verified Partner, New",No,9,,,,,,Diamond,,,,,,,1.38,White,,,NONE,NON,Round,,,,,,Center stone,,
17,LB1347,Bracelet,USD,2400,White Gold,18K,16,,cm,,6.61,Brand New,"Fast Shipping, Verified Partner, New",No,10,,,,,,Diamond,,,,,,,1.00,White,,,NONE,NON,Round,,,,,,Center stone,,
18,LB1054,Bracelet,USD,4600,White Gold,18K,18.5,,cm,,16.48,Brand New,"Fast Shipping, Verified Partner, New",No,0,NONE,NON,8.35,Oval,,Sapphire,Center stone,Oval,,,,,,,,,,,,,,,,,,,
19,LB738,Bracelet,USD,1200,White Gold,14K,18,,cm,,9.41,Brand New,"Fast Shipping, Verified Partner, New",No,48,NONE,NON,0.00,Round,,Ruby,Center stone,Round,,,,,,,,,,,,,,,,,,,
20,NP491,Necklace,USD,2400,Platinum,PT950K,18,,cm,,5.72,Brand New,"Fast Shipping, Verified Partner, New",No,0,,,,,,Diamond,,,,,,,0.45,Fancy,,YELLOW,NONE,NON,Cushion,,,,,,Center stone,,
21,LBN171,Bracelet,USD,15000,Rose Gold,18K,,,,,54.88,Brand New,"Fast Shipping, Verified Partner, New",No,0,NONE,NON,15.86,Round,,Others,Center stone,Round,,,,,,,,,,,,,,,,,,,
